date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:15:00	109906/109906	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:59%20GMT	https://theordinary.com/product/rdn-glycolic-acid-7pct-toning-solution-240ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-glycolic-acid-7pct-toning-solution-240mld2f3.html	(from https://theordinary.com/)
01:15:01	107804/107804	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:15:00%20GMT	https://theordinary.com/product/rdn-salicylic-acid-2pct-solution-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-salicylic-acid-2pct-solution-30mld2f3.html	(from https://theordinary.com/)
01:15:02	105869/105869	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:15:01%20GMT	https://theordinary.com/product/rdn-azelaic-acid-suspension-10pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-azelaic-acid-suspension-10pct-30mld2f3.html	(from https://theordinary.com/)
01:15:03	106437/106437	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:15:02%20GMT	https://theordinary.com/product/rdn-lactic-acid-5pct-ha-2pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-lactic-acid-5pct-ha-2pct-30mld2f3.html	(from https://theordinary.com/)
01:15:03	106436/106436	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:15:03%20GMT	https://theordinary.com/product/rdn-lactic-acid-10pct-ha-2pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-lactic-acid-10pct-ha-2pct-30mld2f3.html	(from https://theordinary.com/)
01:15:04	101905/101905	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:15:03%20GMT	https://theordinary.com/product/rdn-mandelic-acid-10pct-ha-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-mandelic-acid-10pct-ha-30mld2f3.html	(from https://theordinary.com/)
01:15:05	120232/120232	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:15:04%20GMT	https://theordinary.com/product/rdn-aha-30pct-bha-2pct-peeling-solution-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-aha-30pct-bha-2pct-peeling-solution-30mld2f3.html	(from https://theordinary.com/)
01:15:06	107939/107939	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:15:05%20GMT	https://theordinary.com/product/rdn-alpha-lipoic-acid-5pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-alpha-lipoic-acid-5pct-30mld2f3.html	(from https://theordinary.com/)
01:15:06	105877/105877	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:15:06%20GMT	https://theordinary.com/product/rdn-resveratrol-3pct-ferulic-acid-3pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-resveratrol-3pct-ferulic-acid-3pct-30mld2f3.html	(from https://theordinary.com/)
01:15:07	112871/112871	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:15:06%20GMT	https://theordinary.com/product/rdn-euk-134-01pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-euk-134-01pct-30mld2f3.html	(from https://theordinary.com/)
